date,timestamp,coin_id,symbol,price,volume,market_cap,asset_class
2024-11-10,2024-11-10 00:00:00,solana,SOL,200.1685708629758,4159056437.727218,94841594020.38661,cryptocurrency
2024-11-11,2024-11-11 00:00:00,solana,SOL,210.18784246643875,11110901193.487217,99044422018.77545,cryptocurrency
2024-11-12,2024-11-12 00:00:00,solana,SOL,222.64379026281208,12984443505.89922,105178890848.891,cryptocurrency
2024-11-13,2024-11-13 00:00:00,solana,SOL,213.0672905358662,13290465438.161457,100554180075.78313,cryptocurrency
2024-11-14,2024-11-14 00:00:00,solana,SOL,215.0830227659504,13805972977.973513,101553234625.10576,cryptocurrency
2024-11-15,2024-11-15 00:00:00,solana,SOL,209.3680513303875,10550722956.667837,98608091950.04749,cryptocurrency
2024-11-16,2024-11-16 00:00:00,solana,SOL,219.08569006216123,7498818405.350817,103343063143.62659,cryptocurrency
2024-11-17,2024-11-17 00:00:00,solana,SOL,216.05467211977268,5969522661.832492,101970934386.94557,cryptocurrency
2024-11-18,2024-11-18 00:00:00,solana,SOL,237.4665536612789,12972061001.980022,112583245508.81412,cryptocurrency
2024-11-19,2024-11-19 00:00:00,solana,SOL,239.77742042710136,10983854913.148941,113790106211.8517,cryptocurrency
2024-11-20,2024-11-20 00:00:00,solana,SOL,237.91328769126025,8433368277.4585285,112928994362.1699,cryptocurrency
2024-11-21,2024-11-21 00:00:00,solana,SOL,236.04012432804112,8823415601.787249,112008978842.06454,cryptocurrency
2024-11-22,2024-11-22 00:00:00,solana,SOL,257.2507185771503,14028640651.231201,122060813280.85324,cryptocurrency
2024-11-23,2024-11-23 00:00:00,solana,SOL,256.24790229652683,9312488228.35439,121664259170.88939,cryptocurrency
2024-11-24,2024-11-24 00:00:00,solana,SOL,254.69897355925355,8833978840.183693,120859540109.97667,cryptocurrency
2024-11-25,2024-11-25 00:00:00,solana,SOL,253.63893250552624,6901354952.3071165,120502230128.64162,cryptocurrency
2024-11-26,2024-11-26 00:00:00,solana,SOL,234.5375215535424,8666830055.465332,111344542068.44252,cryptocurrency
2024-11-27,2024-11-27 00:00:00,solana,SOL,230.77914119497484,9750668817.715805,109620678337.06673,cryptocurrency
2024-11-28,2024-11-28 00:00:00,solana,SOL,242.46678684660802,7109836475.670383,115105327487.59502,cryptocurrency
2024-11-29,2024-11-29 00:00:00,solana,SOL,237.65273808614407,5255693436.08845,112826136421.60674,cryptocurrency
2024-11-30,2024-11-30 00:00:00,solana,SOL,243.70089664594224,5755025280.657502,115695831971.57478,cryptocurrency
2024-12-01,2024-12-01 00:00:00,solana,SOL,238.16347667858562,4804502975.567071,113136826188.84282,cryptocurrency
2024-12-02,2024-12-02 00:00:00,solana,SOL,237.54718827599987,5045595846.945474,112858141484.31874,cryptocurrency
2024-12-03,2024-12-03 00:00:00,solana,SOL,225.5283610124218,9899598134.99005,107159640532.60336,cryptocurrency
2024-12-04,2024-12-04 00:00:00,solana,SOL,234.99258635351788,10452192112.243505,111849188040.85468,cryptocurrency
2024-12-05,2024-12-05 00:00:00,solana,SOL,229.06669921453178,8783744907.42495,108895156641.66345,cryptocurrency
2024-12-06,2024-12-06 00:00:00,solana,SOL,237.3008587229224,12602226714.283775,112780864777.68202,cryptocurrency
2024-12-07,2024-12-07 00:00:00,solana,SOL,237.00646868253727,8922633455.40031,112628691231.92856,cryptocurrency
2024-12-08,2024-12-08 00:00:00,solana,SOL,238.89329739813545,5251587540.533853,113839345705.58537,cryptocurrency
