,Open,High,Low,Close,Volume
2023-01-02,199.89587552331767,200.08135179682014,199.27160465136606,199.9898488857593,17183768
2023-01-03,185.8558382623998,207.3240331788399,178.3725529840241,199.7703027814976,9245841
2023-01-04,216.64346363091582,231.84003163045648,184.55148090525753,199.64537730592687,12110677
2023-01-05,219.03060167475866,235.4314344114443,189.38931060202233,198.98592148586306,20047215
2023-01-06,204.83643210993532,211.57974295187333,169.69945373705164,197.75938790473987,20258147
2023-01-09,174.45795322479887,205.67328200315276,144.93013069133414,199.75512682073077,22431208
2023-01-10,171.7260669656597,226.0817620012319,153.44939200067515,199.69513505094827,50097902
2023-01-11,132.68114702214686,209.47325643285373,107.49662848746787,197.81305850675665,29116242
2023-01-12,179.44330089648008,213.5327295478186,167.5193953728652,199.07892311358188,29903194
2023-01-13,233.2474679799036,287.61210666046765,194.94546227076307,198.29628258585524,49885051
2023-01-16,174.59925786505585,210.07945700488148,127.9860990228888,195.86089681124042,16735111
2023-01-17,160.15635309161297,223.39071713730047,154.62184995162391,195.60705647473026,15506780
2023-01-18,229.10518899356452,262.35365595087995,184.94923049906026,195.5853266146363,36853858
2023-01-19,226.64543473937195,290.9681940886473,140.5708794014829,194.24617691056957,25499245
2023-01-20,178.5386445981011,210.1316815992573,173.04943070992525,195.0033583839115,19561418
2023-01-23,209.63407268380269,233.05713452416165,183.45234565511896,194.89974050694886,19403483
2023-01-24,174.6206329918932,206.69517450360814,170.40165912749455,196.9833331136192,18352162
2023-01-25,183.17342522623258,216.85085928194965,168.07092499536375,194.0430278050922,19015110
2023-01-26,124.53616220147092,274.3122322749084,118.00679634845618,197.58399931623788,19972088
2023-01-27,213.35352205189741,262.52450424247206,163.72981976510061,196.96321536569437,17236079
2023-01-30,201.83722744649785,241.9245445003188,162.3042023766946,206.23223810199013,26401954
2023-01-31,158.44223767277683,215.51793343554584,86.67290925655757,202.58440672659725,29049553
2023-02-01,198.08751466882782,246.52109726844296,125.89319436258549,203.97877174283155,15080306
2023-02-02,187.21389340927348,334.4051346851077,144.57483753257026,199.22885542647697,31407371
2023-02-03,152.16394596847155,204.06687957805244,61.006496743589416,201.5683577397016,10591442
2023-02-06,218.35433744497405,224.81430737411736,152.8243457700343,196.62388610611274,25728798
2023-02-07,182.93437964700212,217.95647671574895,154.54980922223072,200.71869460511613,26380052
2023-02-08,189.24294191376157,208.40645174459414,176.0104934766786,197.14285512107642,19179979
2023-02-09,111.3793880711925,288.1388566010196,99.63994047884485,195.935145285733,20582208
2023-02-10,191.3429299479483,226.41400778219386,98.84530736467649,197.96557308860565,17796411
2023-02-13,190.68453969662704,265.3937457873009,108.01872065160289,199.68071957831813,15516538
2023-02-14,163.67084305711313,234.69115015246803,79.48020309623558,203.1492347392828,20005059
2023-02-15,229.8061402618799,230.4165479526015,195.75193363596156,203.03849094550714,15219577
2023-02-16,109.79111739525634,243.52698160013392,87.23611549681937,199.75254283976972,35357097
2023-02-17,176.91281430777082,270.69430812015463,176.06691704661455,199.49378238800375,6989864
2023-02-20,214.44893891724473,236.1286481954523,168.00243322272797,201.65476984264572,18698517
2023-02-21,289.87594848955604,333.9423167318648,162.212318310045,201.8329477255348,7731874
2023-02-22,151.81668776369477,232.03726070265387,115.21436678173686,200.55029415829102,11749462
2023-02-23,199.7991763047269,202.6366624618761,106.25628918799211,196.70773473010502,14989167
2023-02-24,226.88771958945176,280.753881666713,114.46287263325664,201.86190927042915,39076683
2023-02-27,202.70780007531104,246.98353022181215,143.03277785277436,199.32385946809973,35608088
2023-02-28,135.86048509904018,249.65414982275914,110.45922532350957,200.25142117240603,20740296
2023-03-01,187.40576767738554,214.17734161789528,136.9540447439989,211.15092970110808,20648932
2023-03-02,30.86077575976673,215.5577761468047,23.72901280963405,212.36971716218665,33598330
2023-03-03,219.3535889325757,221.49786008133938,205.04990588562274,219.09299138196553,35212796
